Xn,F(Xn),F'(Xn),Xn+1,Error
(-4.854298854162074+0j),(-7.567987332102909+0j),(1595.0264799406848+0j),(-4.849554113289569+0j),(0.004744740872505204+0j)
(-4.849554113289569+0j),(-7.431300051466844+0j),(1591.6007196650935+0j),(-4.844885040223914+0j),(0.00466907306565556+0j)
(-4.844885040223914+0j),(-7.297256278502239+0j),(1588.2331527174929+0j),(-4.840290465261153+0j),(0.0045945749627609445+0j)
(-4.840290465261153+0j),(-7.165799645967304+0j),(1584.9227650592263+0j),(-4.835769235707295+0j),(0.004521229553857253+0j)
(-4.835769235707295+0j),(-7.036875135853679+0j),(1581.6685610967959+0j),(-4.831320215660407+0j),(0.004449020046888741+0j)
(-4.831320215660407+0j),(-6.910429043310848+0j),(1578.4695633238962+0j),(-4.826942285794747+0j),(0.00437792986565988+0j)
(-4.826942285794747+0j),(-6.786408941623024+0j),(1575.3248119710029+0j),(-4.82263434314695+0j),(0.004307942647796992+0j)
(-4.82263434314695+0j),(-6.664763648205589+0j),(1572.2333646623288+0j),(-4.818395300904237+0j),(0.004239042242712543+0j)
(-4.818395300904237+0j),(-6.545443191589616+0j),(1569.1942960799877+0j),(-4.81422408819467+0j),(0.004171212709567662+0j)
(-4.81422408819467+0j),(-6.42839877936409+0j),(1566.2066976351987+0j),(-4.810119649879427+0j),(0.004104438315242653+0j)
(-4.810119649879427+0j),(-6.31358276704617+0j),(1563.2696771463675+0j),(-4.806080946347116+0j),(0.004038703532311061+0j)
(-4.806080946347116+0j),(-6.200948627850887+0j),(1560.3823585238883+0j),(-4.802106953310104+0j),(0.003973993037011958+0j)
(-4.802106953310104+0j),(-6.090450923332789+0j),(1557.5438814615225+0j),(-4.798196661602869+0j),(0.00391029170723467+0j)
(-4.798196661602869+0j),(-5.982045274872522+0j),(1554.7534011341868+0j),(-4.79434907698237+0j),(0.003847584620499056+0j)
(-4.79434907698237+0j),(-5.8756883359826615+0j),(1552.0100879020265+0j),(-4.790563219930419+0j),(0.0037858570519508916+0j)
(-4.790563219930419+0j),(-5.771337765407413+0j),(1549.3131270206118+0j),(-4.786838125458067+0j),(0.0037250944723519197+0j)
(-4.786838125458067+0j),(-5.668952200992223+0j),(1546.661718357135+0j),(-4.783172842911982+0j),(0.0036652825460850025+0j)
(-4.783172842911982+0j),(-5.568491234299428+0j),(1544.0550761124593+0j),(-4.779566435782828+0j),(0.0036064071291548316+0j)
(-4.779566435782828+0j),(-5.469915385947562+0j),(1541.4924285489017+0j),(-4.776017981515623+0j),(0.003548454267204626+0j)
(-4.776017981515623+0j),(-5.373186081651937+0j),(1538.9730177236058+0j),(-4.77252657132209+0j),(0.003491410193532829+0j)
